channel,mean,rms,meanerr,rmserr,tv
1688,2309.59,8.79704,0.231485,0.235233,9754
1593,2374.83,6.02928,0.21325,0.23073,9754
1687,2323.66,7.31423,0.173824,0.168561,9754
1686,2418.94,16.0078,0.40114,0.17693,9754
1685,2636.82,9.46022,0.257263,0.260915,9754
1684,2422.47,9.27287,0.278956,0.35776,9754
1596,2397.39,6.72933,0.235632,0.195119,9754
1683,2392.14,6.96901,0.229713,0.215169,9754
1597,2426.1,7.38455,0.238777,0.332971,9754
1682,2384.09,6.40718,0.24689,0.210188,9754
1598,2344.09,6.79138,0.238722,0.239271,9754
1681,2388.51,6.99789,0.180003,0.225474,9754
1599,2341.4,6.46224,0.223221,0.206337,9754
1680,2364.08,8.44683,0.297314,0.307206,9754
1600,2374.28,6.97902,0.237024,0.267579,9754
1823,2643.63,7.40692,0.22393,0.235078,9754
1601,2389.68,6.62174,0.24398,0.24115,9754
1822,2419.04,6.40863,0.232765,0.246593,9754
1602,2370.63,10.4405,0.563288,0.552342,9754
1821,2389.92,7.45893,0.207203,0.241569,9754
1594,2656.7,7.32284,0.225855,0.234099,9754
1921,591.398,8.90146,0.166799,0.150439,9754
1920,535.118,10.9224,0.208784,0.214344,9754
1919,514.14,9.59839,0.219761,0.188805,9754
1918,522.963,8.77346,0.148235,0.147261,9754
1917,478.435,8.67087,0.145708,0.130942,9754
1916,461.431,7.96388,0.170799,0.128134,9754
1915,502.428,11.7836,0.204741,0.127684,9754
1914,515.597,9.42637,0.199248,0.162476,9754
1913,478.905,8.09273,0.174371,0.117661,9754
1912,507.491,11.1162,0.280942,0.165053,9754
1911,512.031,9.87045,0.167127,0.150615,9754
1910,547.936,8.37771,0.149546,0.110101,9754
1909,585.595,7.64927,0.152146,0.152225,9754
1908,646.487,8.01744,0.16635,0.171066,9754
1586,2506.28,8.59537,0.264132,0.243409,9754
1603,2667.51,8.38387,0.324568,0.294186,9754
1935,531.95,7.5547,0.20333,0.138754,9754
1934,533.889,8.01612,0.151682,0.136862,9754
1933,480.609,7.65805,0.147025,0.142812,9754
1932,468.869,8.62378,0.188056,0.138648,9754
1931,476.76,8.95125,0.194784,0.152996,9754
1930,455.664,10.9763,0.362623,0.273008,9754
1929,480.351,10.5673,0.214873,0.18408,9754
1928,424.116,8.35809,0.135705,0.113356,9754
1927,474.37,8.69635,0.13914,0.124055,9754
1926,495.665,10.3357,0.206465,0.201857,9754
1925,476.223,9.03892,0.131672,0.115401,9754
1924,542.457,9.61927,0.177484,0.14332,9754
1923,589.601,8.3339,0.178301,0.137613,9754
1922,627.851,11.5104,0.213191,0.183466,9754
1595,2401.74,7.56658,0.279325,0.240675,9754
1703,2642.92,8.22962,0.214154,0.19705,9754
1702,2460.32,7.71189,0.219158,0.228068,9754
1578,2438.33,7.09909,0.215041,0.296583,9754
1701,2373.17,8.51488,0.219165,0.296709,9754
1579,2440.22,7.21299,0.209398,0.271007,9754
1700,2437.05,9.57109,0.218071,0.287625,9754
1580,2500.32,7.20671,0.168521,0.268331,9754
1699,2386.41,10.8059,0.226589,0.368485,9754
1581,2402.64,7.23967,0.205297,0.237497,9754
1698,2337.69,8.50226,0.179909,0.270601,9754
1582,2371.22,8.32348,0.202324,0.290764,9754
1697,2379.83,8.07406,0.152384,0.246607,9754
1583,2423.4,9.26915,0.262996,0.418036,9754
1696,2474.17,9.87209,0.302741,0.352,9754
1584,2311.46,6.94286,0.202143,0.273831,9754
1695,2449.4,15.9736,0.391307,0.505166,9754
1712,2618.48,17.5066,0.407642,0.432065,9754
1569,2476.63,13.7228,0.308115,0.373347,9754
1711,2407.8,11.8691,0.31186,0.297645,9754
1570,2376.77,2.20468,0.117962,0.0595909,9754
1710,2381.51,6.84204,0.14551,0.170466,9754
1571,2444.86,16.3709,0.372809,0.471473,9754
1709,2435.89,8.93972,0.20284,0.229346,9754
1572,2442.64,8.21919,0.201666,0.292339,9754
1708,2512.91,7.0088,0.187095,0.208556,9754
1573,2509.53,7.02992,0.194824,0.165644,9754
1707,2430.84,10.9793,0.328529,0.359789,9754
1574,2433.91,8.95487,0.137302,0.343874,9754
1706,2380.34,6.70332,0.183867,0.154924,9754
1575,2446.89,5.61296,0.183371,0.174405,9754
1705,2466.73,11.2674,0.292489,0.227876,9754
1704,2475.72,15.7939,0.332194,0.157003,9754
1585,2631.64,9.92635,0.287845,0.446882,9754
1907,603.877,7.96615,0.147884,0.167905,9754
1906,632.723,10.6744,0.256972,0.301089,9754
1905,605.575,8.32282,0.161634,0.171315,9754
1904,552.549,8.70372,0.141107,0.200727,9754
1903,515.555,7.21139,0.156373,0.154969,9754
1902,522.155,6.78677,0.144996,0.158857,9754
1901,521.115,6.00793,0.146823,0.147568,9754
