channel, mean, rms, meaner, rmserr, tv
1075,775.46,4.65,0,0,1
1076,779.69,5.08,0,0,1
1077,771.79,4.47,0,0,1
1078,784.33,5.42,0,0,1
1079,2187.52,0.95,0,0,1
1080,786.64,5.32,0,0,1
1081,782.23,5.38,0,0,1
1082,779.17,5.08,0,0,1
1083,766.34,5.21,0,0,1
1084,786.19,5.24,0,0,1
1085,778.47,5,0,0,1
1086,773.37,4.67,0,0,1
1057,757.67,4.95,0,0,1
1058,762.2,4.81,0,0,1
1059,366.24,2.84,0,0,1
1060,1431.48,1023.49,0,0,1
1061,1419.54,1024.06,0,0,1
1062,1373.4,1023.49,0,0,1
1063,1808.04,941.81,0,0,1
1064,1954.26,870.39,0,0,1
1065,1463.05,1022.87,0,0,1
1066,1668.27,992.82,0,0,1
1067,390.59,2.21,0,0,1
1068,1454.74,1022.88,0,0,1
1069,1445.59,1023.6,0,0,1
1070,3116.24,954.61,0,0,1
1121,1718.73,976.88,0,0,1
1122,1533.26,1015.08,0,0,1
1123,1385.47,1023.97,0,0,1
1124,1515.81,1017.54,0,0,1
1125,782.64,5.92,0,0,1
1126,802.74,5.18,0,0,1
1127,797.33,5.14,0,0,1
1128,804.9,5.16,0,0,1
1129,828.16,4.29,0,0,1
1130,821.41,4.74,0,0,1
1131,800.17,5.13,0,0,1
1132,786.1,4.67,0,0,1
1133,810.1,5.07,0,0,1
1134,804.12,4.93,0,0,1
1137,809.37,5.45,0,0,1
1138,812.85,5.19,0,0,1
1139,800.24,5.12,0,0,1
1140,795.52,4.83,0,0,1
1141,776.64,4.17,0,0,1
1142,789.49,5.93,0,0,1
1143,746.42,1.36,0,0,1
1144,762.26,1.39,0,0,1
1145,759.74,1.18,0,0,1
1146,750.12,1.1,0,0,1
1147,744.76,1.94,0,0,1
1148,772.98,5.13,0,0,1
1149,758.86,5.58,0,0,1
1150,793.69,6.15,0,0,1
1201,759.99,4.48,0,0,1
1202,769.09,5.52,0,0,1
1203,766.66,5.6,0,0,1
1204,757.81,5.25,0,0,1
1205,762.97,4.73,0,0,1
1206,750.61,6.23,0,0,1
1207,749.23,5.86,0,0,1
1208,725.74,5.8,0,0,1
1209,751.38,6.09,0,0,1
1210,772.04,4.82,0,0,1
1211,755.7,5.58,0,0,1
1212,760.08,5.1,0,0,1
1213,772.55,4.75,0,0,1
1214,753.35,5.64,0,0,1
1185,761.23,4.92,0,0,1
1186,773.12,4.43,0,0,1
1187,771.84,4.56,0,0,1
1188,775.34,4.69,0,0,1
1189,758.79,5.41,0,0,1
1190,781.72,5.35,0,0,1
1191,774.18,4.65,0,0,1
1192,763.42,4.79,0,0,1
1193,769.9,5.85,0,0,1
1194,728.63,5.97,0,0,1
1195,762.85,5.11,0,0,1
1196,789.57,4.63,0,0,1
1197,769.6,4.11,0,0,1
1198,770.28,3.66,0,0,1
1249,775.72,4.25,0,0,1
1250,791.99,4.61,0,0,1
1251,779.38,4.16,0,0,1
1252,777.65,4.4,0,0,1
1253,779.04,4.51,0,0,1
1254,794.66,4.86,0,0,1
1255,808.72,5.09,0,0,1
1256,802.82,5.25,0,0,1
1257,779.34,4.12,0,0,1
1258,786.8,4.75,0,0,1
1259,781.93,4.77,0,0,1
1260,783.78,5.75,0,0,1
1261,780.04,5.38,0,0,1
1262,807.21,4.88,0,0,1
1265,778.38,4.5,0,0,1
1266,798.96,4.99,0,0,1
1267,784.76,4.49,0,0,1
1268,796.58,4.89,0,0,1
1269,784.1,4.47,0,0,1
1270,794.1,4.82,0,0,1
1271,798.99,4.75,0,0,1
1272,815.65,5.29,0,0,1
1273,793.5,5.04,0,0,1
1274,809.66,5.1,0,0,1
1275,775.96,3.82,0,0,1
1276,798.03,5.31,0,0,1
1277,794.08,4.57,0,0,1
1278,757.31,6.3,0,0,1
2009,807.32,5.56,0,0,1
2011,781.35,4.79,0,0,1
2013,780.42,4.9,0,0,1
2032,796.36,5.23,0,0,1
2031,784.38,4.78,0,0,1
1986,815.87,5.41,0,0,1
1988,778.51,4.75,0,0,1
1990,786.22,5.09,0,0,1
1992,784.33,4.97,0,0,1
1994,798.8,5.08,0,0,1
1996,799.81,5.27,0,0,1
1998,776.32,4.62,0,0,1
2016,782.94,5.05,0,0,1
1967,766.69,4.2,0,0,1
1921,762.29,4.18,0,0,1
1923,759.18,4.46,0,0,1
1925,756.07,5.2,0,0,1
1927,758.01,4.68,0,0,1
1929,762.88,4.36,0,0,1
1931,748.17,5.34,0,0,1
1933,734.92,5.07,0,0,1
1952,735.33,5.33,0,0,1
1983,749.93,5.2,0,0,1
1938,741.13,5.66,0,0,1
1940,748.44,5.38,0,0,1
1942,750.26,5.61,0,0,1
1944,743.59,5.35,0,0,1
1946,740.89,5.17,0,0,1
1948,738.8,5.05,0,0,1
1950,745.47,5.28,0,0,1
1968,732.37,4.62,0,0,1
1919,0,0,0,0,1
1873,822.04,4.81,0,0,1
1875,824.71,3.72,0,0,1
1877,799.41,4.85,0,0,1
1879,825.82,4.41,0,0,1
1881,801.28,4.61,0,0,1
1883,789.52,4.67,0,0,1
1885,806.52,4.62,0,0,1
1904,789.37,4.94,0,0,1
1903,777.81,4.32,0,0,1
1858,783.4,4.68,0,0,1
1860,808.52,5.11,0,0,1
1862,2334.91,1.44,0,0,1
1864,813.87,4.82,0,0,1
1866,787.85,4.94,0,0,1
1868,818.19,5.12,0,0,1
1870,793.01,5.84,0,0,1
1888,803.37,5.98,0,0,1
1839,798.11,4.81,0,0,1
